municipio,uf,cod_munic,lexml,site_prefeitura,site_camara,sistema_tipo,sistema_proposicao,sistema_legislacao,Apoio Interlegis
Unaí,MG,70404,Sim,,​http://unai.mg.leg.br,,,,Sim
Uruguaiana,RS,22400,Sim,,​http://uruguaiana.rs.leg.br,,,,Sim
Conceição dos Ouros,MG,17801,Sim,,​http://conceicaodosouros.mg.leg.br,,,,Sim
Carneirinho,MG,14550,Sim,,​http://carneirinho.mg.leg.br,,,,Sim
Carmo do Paranaíba,MG,14303,Sim,,​http://carmodoparanaiba.mg.leg.br,,,,Sim
Careaçu,MG,13602,Sim,,​http://careacu.mg.leg.br,,,,Sim
Canoinhas,SC,3808,Sim,,​http://canoinhas.sc.leg.br,,,,Sim
Campinas,SP,9502,Sim,www.campinas.sp.gov.br/,​http://campinas.sp.leg.br,,,,Sim
Cambé,PR,3701,Sim,,​http://cambe.pr.leg.br,,,,Sim
Bertioga,SP,6359,Sim,www.bertioga.sp.gov.br/,​http://bertioga.sp.leg.br,,,,Sim
Bento Gonçalves,RS,2105,Sim,,​http://bentogoncalves.rs.leg.br,SAPL,http://sapl.camarabento.rs.gov.br/materia/pesquisar-materia,,Sim
Bauru,SP,6003,Sim,www.bauru.sp.gov.br/,​http://bauru.sp.leg.br,,,,Sim
Arinos,MG,4502,Sim,,​http://arinos.mg.leg.br,,,,Sim
Adamantina,SP,105,Sim,www.adamantina.sp.gov.br/,,,,,
Agudos,SP,709,Sim,www.agudos.sp.gov.br/,,,,,
Birigui,SP,6508,Sim,www.birigui.sp.gov.br/,,,,,
Bofete,SP,6904,Sim,www.bofete.sp.gov.br/,,,,,
Catanduvas,SC,4004,Sim,,https://www.camaracatanduvas.sc.gov.br/,,,,
Corbélia,PR,6308,Sim,,,,,,
Cabedelo,PB,3209,Sim,,,,,,
Anápolis,GO,1108,Sim,,,,,,
Santa Luzia,MG,57807,,,https://https://www.cmsantaluzia.mg.gov.br/,,,,
Belo Horizonte,MG,6200,,,https://https://www.cmbh.mg.gov.br/,,,,
São Simão,SP,50902,,www.saosimao.sp.gov.br/,https://https://www.camarasaosimao.sp.gov.br/,,,,
