NomeMun,UF,CodMun,match_var,title,uf,uf_code,uf_code_multi,rua_camara,numero_camara,cep,email,url_interlegis,url_legislativo
Ariquemes,RO,1100023,Ariquemes_RO,Câmara Municipal de Ariquemes,RO,11,11000000,Rua Cassia Terida,1369,76872-874,decomcma@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3671,http://www.camaradeariquemes.ro.gov.br
Cabixi,RO,1100031,Cabixi_RO,Câmara Municipal de Cabixi,RO,11,11000000,Rua Bororos,3234,78999-000,camaracabixi@bol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3901,http://www.cabixi.ro.leg.br
Cacoal,RO,1100049,Cacoal_RO,Câmara Municipal de Cacoal,RO,11,11000000,Rua Presidente Médici,1849,76962-620,ascomcmc@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3902,http://www.camaradecacoal.ro.gov.br
Cerejeiras,RO,1100056,Cerejeiras_RO,Câmara Municipal de Cerejeiras,RO,11,11000000,Rua Avenida Brasil,2570,78997-000,camaradecerejeiras@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3904,http://www.cerejeiras.ro.leg.br
Colorado do Oeste,RO,1100064,Colorado do Oeste_RO,Câmara Municipal de Colorado do Oeste,RO,11,11000000,Rua Rio Grande do Sul,4195,76993-000,co-camaramunicipal@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3905,
Corumbiara,RO,1100072,Corumbiara_RO,Câmara Municipal de Corumbiara,RO,11,11000000,Av. Itália Caltieiro. Franco,2018,76995-000,poder.legislativo@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3906,http://www.corumbiara.ro.leg.br
Costa Marques,RO,1100080,Costa Marques_RO,Câmara Municipal de Costa Marques,RO,11,11000000,Avenida Chianca,1385,76937-000,camaradecostamarques@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3913,
Guajará-Mirim,RO,1100106,Guajará-Mirim_RO,Câmara Municipal de Guajará-Mirim,RO,11,11000000,Av. 15 de Novembro,1385,76850-000,cmgm@guajaramirim.ro.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3914,http://www.guajaramirim.ro.leg.br
Jaru,RO,1100114,Jaru_RO,Câmara Municipal de Jaru,RO,11,11000000,Avenida Goiás,3531,76890-000,camaravereadoresjaru@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3917,
Ji-Paraná,RO,1100122,Ji-Paraná_RO,Câmara Municipal de Ji-Paraná,RO,11,11000000,Av. Dois de Abril,1571,76900-181,camara.jipa@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3918,http://www.camaraji-parana.com.br
Ouro Preto do Oeste,RO,1100155,Ouro Preto do Oeste_RO,Câmara Municipal de Ouro Preto do Oeste,RO,11,11000000,Av. Gonçalves Dias,4236,76920-000,camaraopoimprensa@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3953,http://www.camaraopo.ro.gov.br
Pimenta Bueno,RO,1100189,Pimenta Bueno_RO,Câmara Municipal de Pimenta Bueno,RO,11,11000000,Avenida Castelo Branco,930,76970-000,camara@pimentabueno.ro.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3968,
Porto Velho,RO,1100205,Porto Velho_RO,Câmara Municipal de Porto Velho,RO,11,11000000,Rua Belém,139,76820-734,cmpv.daf@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3965,http://www.portovelho.ro.leg.br
Presidente Médici,RO,1100254,Presidente Médici_RO,Câmara Municipal de Presidente Médici,RO,11,11000000,Av. Padre Adolfo nº 2590 ,2590,76916-000,flavio.plinio@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3954,
Rio Crespo,RO,1100262,Rio Crespo_RO,Câmara Municipal de Rio Crespo,RO,11,11000000,Rua Governador Oswaldo Piana Filho,1836,76863-000,camaramunicipal_riocrespo@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3897,
Rolim de Moura,RO,1100288,Rolim de Moura_RO,Câmara Municipal de Rolim de Moura,RO,11,11000000,Av João Pessoa,4463,76940-000,camara@rolimdemoura.ro.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3911,http://www.rolimdemoura.ro.leg.br
Vilhena,RO,1100304,Vilhena_RO,Câmara Municipal de Vilhena,RO,11,11000000,Av. Tancredo Neves,,76980-000,controladoria.cmv@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3971,
São Miguel do Guaporé,RO,1100320,São Miguel do Guaporé_RO,Câmara Municipal de São Miguel do Guaporé,RO,11,11000000,Avenida Capitão Silvio 1446,,76932-000,cmsaomiguel@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3668,http://www.saomigueldoguapore.ro.leg.br
